Freq [GHz],"dB(St(P1,P4)) []","dB(St(P1,P4))_1 []","dB(St(P1,P4))_2 []","dB(St(P1,P4))_3 []"
0,-255.648,-258.183,-256.518,-270.104
0.019455253,-56.892,-61.26,-56.128,-69.937
0.038910506,-51.17,-55.251,-50.277,-63.935
0.058365759,-47.72,-51.741,-46.802,-60.441
0.077821012,-45.263,-49.258,-44.337,-57.986
0.097276265,-43.359,-47.34,-42.432,-56.099
0.116731518,-41.809,-45.778,-40.882,-54.572
0.13618677,-40.514,-44.471,-39.589,-53.312
0.155642023,-39.401,-43.344,-38.479,-52.237
0.175097276,-38.418,-42.35,-37.499,-51.287
0.194552529,-37.563,-41.476,-36.647,-50.477
0.214007782,-36.794,-40.689,-35.882,-49.751
0.233463035,-36.101,-39.975,-35.192,-49.102
0.252918288,-35.513,-39.348,-34.608,-48.577
0.272373541,-34.956,-38.759,-34.054,-48.074
0.291828794,-34.41,-38.192,-33.511,-47.564
0.311284047,-33.965,-37.7,-33.068,-47.177
0.3307393,-33.55,-37.237,-32.655,-46.818
0.350194553,-33.13,-36.783,-32.237,-46.441
0.369649805,-32.79,-36.383,-31.897,-46.156
0.389105058,-32.48,-36.009,-31.587,-45.903
0.408560311,-32.158,-35.635,-31.265,-45.625
0.428015564,-31.897,-35.302,-31.002,-45.417
0.447470817,-31.669,-34.992,-30.772,-45.246
0.46692607,-31.424,-34.678,-30.525,-45.047
0.486381323,-31.225,-34.395,-30.322,-44.899
0.505836576,-31.062,-34.133,-30.155,-44.792
0.525291829,-30.881,-33.866,-29.969,-44.659
0.544747082,-30.731,-33.62,-29.815,-44.56
0.564202335,-30.619,-33.396,-29.697,-44.505
0.583657588,-30.488,-33.165,-29.561,-44.425
0.603112841,-30.378,-32.948,-29.446,-44.368
0.622568093,-30.303,-32.753,-29.367,-44.355
0.642023346,-30.211,-32.55,-29.272,-44.32
0.661478599,-30.128,-32.356,-29.187,-44.298
0.680933852,-30.076,-32.183,-29.139,-44.318
0.700389105,-30.007,-32.002,-29.074,-44.321
0.719844358,-29.934,-31.823,-29.009,-44.322
0.739299611,-29.873,-31.658,-28.963,-44.35
0.758754864,-29.808,-31.5,-28.918,-44.389
0.778210117,-29.736,-31.344,-28.86,-44.428
0.79766537,-29.661,-31.194,-28.775,-44.477
0.817120623,-29.589,-31.049,-28.598,-44.529
0.836575876,-29.517,-30.905,-28.365,-44.58
0.856031128,-29.464,-30.773,-28.125,-44.635
0.875486381,-29.426,-30.653,-28.107,-44.69
0.894941634,-29.402,-30.545,-28.201,-44.742
0.914396887,-29.387,-30.433,-28.288,-44.79
0.93385214,-29.376,-30.303,-28.347,-44.832
0.953307393,-29.366,-30.165,-28.383,-44.864
0.972762646,-29.356,-30.036,-28.397,-44.876
0.992217899,-29.341,-29.9,-28.405,-44.884
1.011673152,-29.32,-29.756,-28.407,-44.89
1.031128405,-29.293,-29.634,-28.39,-44.849
1.050583658,-29.261,-29.505,-28.369,-44.806
1.070038911,-29.225,-29.368,-28.343,-44.761
1.089494163,-29.175,-29.247,-28.298,-44.658
1.108949416,-29.12,-29.119,-28.248,-44.55
1.128404669,-29.061,-28.985,-28.195,-44.442
1.147859922,-28.983,-28.863,-28.118,-44.276
1.167315175,-28.9,-28.737,-28.036,-44.103
1.186770428,-28.813,-28.603,-27.951,-43.932
1.206225681,-28.705,-28.48,-27.839,-43.715
1.225680934,-28.589,-28.354,-27.719,-43.49
1.245136187,-28.472,-28.22,-27.597,-43.267
1.26459144,-28.332,-28.097,-27.451,-43.017
1.284046693,-28.184,-27.971,-27.295,-42.76
1.303501946,-28.034,-27.838,-27.139,-42.503
1.322957198,-27.866,-27.716,-26.964,-42.241
1.342412451,-27.687,-27.593,-26.781,-41.972
1.361867704,-27.507,-27.462,-26.596,-41.702
1.381322957,-27.314,-27.342,-26.405,-41.442
1.40077821,-27.111,-27.223,-26.209,-41.182
1.420233463,-26.905,-27.096,-26.009,-40.915
1.439688716,-26.693,-26.976,-25.814,-40.664
1.459143969,-26.474,-26.859,-25.618,-40.417
1.478599222,-26.252,-26.741,-25.425,-40.174
1.498054475,-26.026,-26.631,-25.246,-39.951
1.517509728,-25.797,-26.512,-25.057,-39.714
1.536964981,-25.576,-26.412,-24.907,-39.52
1.556420233,-25.348,-26.3,-24.744,-39.308
1.575875486,-25.135,-26.2,-24.622,-39.126
1.595330739,-24.923,-26.098,-24.507,-38.944
1.614785992,-24.712,-25.992,-24.401,-38.758
1.634241245,-24.521,-25.896,-24.366,-38.6
1.653696498,-24.341,-25.802,-24.42,-38.453
