Freq [GHz],"dB(St(P1,P4)) []","dB(St(P1,P4))_1 []","dB(St(P1,P4))_2 []","dB(St(P1,P4))_3 []","dB(St(P1,P4))_4 []"
0,-256.465,-256.174,-257.592,-256.899,-257.697
0.018382353,-57.338,-58.012,-58.721,-57.64,-57.377
0.036764706,-51.117,-51.689,-52.581,-51.468,-51.335
0.055147059,-47.562,-48.111,-49.042,-47.925,-47.827
0.073529412,-45.059,-45.594,-46.541,-45.425,-45.35
0.091911765,-43.131,-43.652,-44.609,-43.498,-43.444
0.110294118,-41.564,-42.07,-43.037,-41.932,-41.901
0.128676471,-40.248,-40.737,-41.713,-40.615,-40.608
0.147058824,-39.115,-39.587,-40.571,-39.481,-39.5
0.165441177,-38.133,-38.586,-39.579,-38.499,-38.545
0.183823529,-37.253,-37.687,-38.689,-37.618,-37.69
0.202205882,-36.469,-36.883,-37.895,-36.833,-36.93
0.220588235,-35.761,-36.155,-37.176,-36.124,-36.245
0.238970588,-35.12,-35.494,-36.525,-35.482,-35.625
0.257352941,-34.537,-34.892,-35.932,-34.899,-35.063
0.275735294,-34.003,-34.341,-35.39,-34.365,-34.546
0.294117647,-33.519,-33.839,-34.897,-33.88,-34.076
0.3125,-33.071,-33.376,-34.442,-33.431,-33.639
0.330882353,-32.666,-32.958,-34.031,-33.027,-33.241
0.349264706,-32.288,-32.57,-33.649,-32.649,-32.868
0.367647059,-31.951,-32.226,-33.31,-32.313,-32.53
0.386029412,-31.634,-31.903,-32.991,-31.996,-32.21
0.404411765,-31.355,-31.624,-32.714,-31.718,-31.923
0.422794118,-31.09,-31.359,-32.451,-31.454,-31.648
0.441176471,-30.862,-31.137,-32.228,-31.227,-31.405
0.459558824,-30.643,-30.925,-32.014,-31.009,-31.171
0.477941177,-30.46,-30.753,-31.838,-30.827,-30.968
0.496323529,-30.281,-30.587,-31.667,-30.65,-30.769
0.514705882,-30.137,-30.459,-31.533,-30.507,-30.602
0.533088235,-29.994,-30.333,-31.399,-30.364,-30.437
0.551470588,-29.883,-30.242,-31.299,-30.255,-30.303
0.569852941,-29.77,-30.149,-31.197,-30.143,-30.168
0.588235294,-29.688,-30.088,-31.126,-30.061,-30.064
0.606617647,-29.602,-30.023,-31.05,-29.975,-29.957
0.625,-29.542,-29.985,-31.001,-29.916,-29.88
0.643382353,-29.478,-29.942,-30.947,-29.852,-29.798
0.661764706,-29.437,-29.921,-30.915,-29.811,-29.744
0.680147059,-29.39,-29.893,-30.877,-29.764,-29.684
0.698529412,-29.363,-29.883,-30.857,-29.736,-29.649
0.716911765,-29.329,-29.866,-30.831,-29.702,-29.608
0.735294118,-29.314,-29.863,-30.82,-29.686,-29.592
0.753676471,-29.289,-29.852,-30.8,-29.661,-29.565
0.772058824,-29.275,-29.846,-30.789,-29.646,-29.553
0.790441177,-29.26,-29.839,-30.776,-29.63,-29.542
0.808823529,-29.242,-29.828,-30.76,-29.612,-29.529
0.827205882,-29.231,-29.818,-30.748,-29.599,-29.526
0.845588235,-29.212,-29.803,-30.73,-29.58,-29.515
0.863970588,-29.196,-29.785,-30.712,-29.564,-29.51
0.882352941,-29.176,-29.763,-30.69,-29.544,-29.5
0.900735294,-29.152,-29.736,-30.664,-29.519,-29.487
0.919117647,-29.125,-29.704,-30.635,-29.493,-29.471
0.9375,-29.093,-29.666,-30.6,-29.462,-29.45
0.955882353,-29.056,-29.622,-30.56,-29.426,-29.424
0.974264706,-29.014,-29.572,-30.515,-29.385,-29.391
0.992647059,-28.963,-29.513,-30.462,-29.336,-29.348
1.011029412,-28.907,-29.448,-30.403,-29.282,-29.299
1.029411765,-28.847,-29.379,-30.34,-29.223,-29.245
1.047794118,-28.774,-29.299,-30.266,-29.153,-29.177
1.066176471,-28.699,-29.216,-30.19,-29.081,-29.106
1.084558824,-28.613,-29.123,-30.103,-28.997,-29.021
1.102941176,-28.521,-29.025,-30.01,-28.907,-28.929
1.121323529,-28.423,-28.921,-29.912,-28.811,-28.831
1.139705882,-28.313,-28.808,-29.803,-28.704,-28.719
1.158088235,-28.201,-28.692,-29.692,-28.594,-28.606
1.176470588,-28.077,-28.566,-29.569,-28.472,-28.477
1.194852941,-27.949,-28.437,-29.443,-28.345,-28.345
1.213235294,-27.814,-28.302,-29.31,-28.212,-28.205
1.231617647,-27.671,-28.161,-29.169,-28.07,-28.057
1.25,-27.527,-28.018,-29.027,-27.926,-27.907
1.268382353,-27.372,-27.867,-28.874,-27.771,-27.746
1.286764706,-27.215,-27.714,-28.719,-27.614,-27.583
1.305147059,-27.054,-27.557,-28.559,-27.451,-27.416
1.323529412,-26.888,-27.397,-28.395,-27.284,-27.244
1.341911765,-26.72,-27.234,-28.228,-27.114,-27.07
1.360294118,-26.549,-27.07,-28.057,-26.94,-26.893
1.378676471,-26.375,-26.903,-27.884,-26.764,-26.714
1.397058824,-26.201,-26.736,-27.71,-26.587,-26.536
1.415441176,-26.026,-26.567,-27.534,-26.408,-26.355
1.433823529,-25.851,-26.399,-27.357,-26.229,-26.176
1.452205882,-25.681,-26.235,-27.186,-26.055,-26.002
1.470588235,-25.506,-26.066,-27.008,-25.876,-25.822
1.488970588,-25.326,-25.892,-26.826,-25.692,-25.638
1.507352941,-25.166,-25.736,-26.663,-25.528,-25.474
1.525735294,-25.001,-25.575,-26.494,-25.358,-25.305
1.544117647,-24.829,-25.407,-26.318,-25.181,-25.128
1.5625,-24.673,-25.254,-26.157,-25.02,-24.968
1.580882353,-24.526,-25.108,-26.005,-24.868,-24.815
1.599264706,-24.369,-24.953,-25.844,-24.706,-24.653
1.617647059,-24.213,-24.799,-25.683,-24.545,-24.492
1.636029412,-24.093,-24.677,-25.556,-24.418,-24.363
1.654411765,-23.96,-24.542,-25.417,-24.278,-24.222
1.672794118,-23.816,-24.397,-25.266,-24.127,-24.07
1.691176471,-23.7,-24.278,-25.142,-24.002,-23.942
1.709558824,-23.585,-24.16,-25.018,-23.878,-23.814
1.727941176,-23.491,-24.061,-24.913,-23.77,-23.702
1.746323529,-23.403,-23.966,-24.81,-23.665,-23.592
1.764705882,-23.326,-23.881,-24.715,-23.567,-23.487
1.783088235,-23.275,-23.818,-24.636,-23.483,-23.396
1.801470588,-23.225,-23.754,-24.555,-23.395,-23.301
1.819852941,-23.222,-23.728,-24.496,-23.327,-23.222
1.838235294,-23.268,-23.735,-24.45,-23.268,-23.151
1.856617647,-23.404,-23.799,-24.42,-23.221,-23.089
1.875,-23.731,-23.962,-24.41,-23.185,-23.034
