Freq [GHz],"dB(St(P1,P4)) []","dB(St(P1,P4))_1 []","dB(St(P1,P4))_2 []","dB(St(P1,P4))_3 []","dB(St(P1,P4))_3 []"
0,-256.203,-256.565,-256.579,-255.9016,-256.887
0.019723866,-57.184,-56.516,-57.012,-56.5256,-57.511
0.039447732,-51.174,-50.506,-50.993,-50.5106,-51.496
0.059171598,-47.67,-47.003,-47.477,-47.0016,-47.987
0.078895464,-45.195,-44.528,-44.992,-44.5226,-45.508
0.098619329,-43.288,-42.622,-43.077,-42.6136,-43.599
0.118343195,-41.746,-41.08,-41.529,-41.0696,-42.055
0.138067061,-40.459,-39.794,-40.24,-39.7816,-40.767
0.157790927,-39.348,-38.683,-39.129,-38.6706,-39.656
0.177514793,-38.381,-37.718,-38.163,-37.7036,-38.689
0.197238659,-37.525,-36.863,-37.31,-36.8486,-37.834
0.216962525,-36.803,-36.142,-36.593,-36.1266,-37.112
0.236686391,-36.113,-35.453,-35.907,-35.4366,-36.422
0.256410256,-35.5,-34.84,-35.298,-34.8236,-35.809
0.276134122,-34.959,-34.3,-34.762,-34.2826,-35.268
0.295857988,-34.426,-33.768,-34.233,-33.7496,-34.735
0.315581854,-33.996,-33.339,-33.808,-33.3196,-34.305
0.33530572,-33.569,-32.913,-33.385,-32.8916,-33.877
0.355029586,-33.182,-32.527,-33.001,-32.5036,-33.489
0.374753452,-32.846,-32.192,-32.668,-32.1666,-33.152
0.394477318,-32.5,-31.846,-32.324,-31.8196,-32.805
0.414201183,-32.231,-31.578,-32.057,-31.5486,-32.534
0.433925049,-31.957,-31.306,-31.784,-31.2736,-32.259
0.453648915,-31.706,-31.055,-31.533,-31.0206,-32.006
0.473372781,-31.497,-30.847,-31.325,-30.8106,-31.796
0.493096647,-31.272,-30.622,-31.1,-30.5826,-31.568
0.512820513,-31.107,-30.459,-30.935,-30.4166,-31.402
0.532544379,-30.937,-30.29,-30.765,-30.2446,-31.23
0.552268245,-30.778,-30.132,-30.606,-30.0846,-31.07
0.571992111,-30.658,-30.013,-30.486,-29.9616,-30.947
0.591715976,-30.52,-29.876,-30.348,-29.8216,-30.807
0.611439842,-30.416,-29.774,-30.246,-29.7166,-30.702
0.631163708,-30.321,-29.679,-30.152,-29.6196,-30.605
0.650887574,-30.24,-29.599,-30.072,-29.5366,-30.522
0.67061144,-30.177,-29.536,-30.011,-29.4706,-30.456
0.690335306,-30.118,-29.478,-29.954,-29.4086,-30.394
0.710059172,-30.073,-29.432,-29.91,-29.3586,-30.344
0.729783038,-30.052,-29.409,-29.887,-29.3286,-30.314
0.749506903,-30.027,-29.382,-29.86,-29.2936,-30.279
0.769230769,-30.021,-29.37,-29.844,-29.2696,-30.255
0.788954635,-30.032,-29.373,-29.838,-29.2556,-30.241
0.808678501,-30.053,-29.38,-29.83,-29.2396,-30.225
0.828402367,-30.129,-29.426,-29.837,-29.2396,-30.225
0.848126233,-30.193,-29.457,-29.835,-29.2296,-30.215
0.867850099,-30.505,-29.528,-29.847,-29.2376,-30.223
0.887573965,-30.826,-29.536,-29.851,-29.2366,-30.222
0.90729783,-30.482,-29.051,-29.855,-29.2406,-30.226
0.927021696,-29.909,-28.422,-29.856,-29.2426,-30.228
0.946745562,-29.561,-28.206,-29.849,-29.2396,-30.225
0.966469428,-29.418,-28.438,-29.835,-29.2336,-30.219
0.986193294,-29.277,-28.63,-29.814,-29.2196,-30.205
1.00591716,-29.286,-28.665,-29.777,-29.1936,-30.179
1.025641026,-29.283,-28.695,-29.737,-29.1616,-30.147
1.045364892,-29.263,-28.679,-29.672,-29.0976,-30.083
1.065088757,-29.236,-28.656,-29.603,-29.0276,-30.013
1.084812623,-29.192,-28.611,-29.514,-28.9226,-29.908
1.104536489,-29.138,-28.554,-29.415,-28.8026,-29.788
1.124260355,-29.07,-28.484,-29.302,-28.6706,-29.656
1.143984221,-28.988,-28.397,-29.173,-28.5256,-29.511
1.163708087,-28.899,-28.303,-29.039,-28.3806,-29.366
1.183431953,-28.789,-28.188,-28.884,-28.2356,-29.221
1.203155819,-28.677,-28.071,-28.729,-28.0906,-29.076
1.222879684,-28.543,-27.933,-28.558,-27.9386,-28.924
1.24260355,-28.406,-27.79,-28.383,-27.7866,-28.772
1.262327416,-28.255,-27.635,-28.202,-27.6246,-28.61
1.282051282,-28.096,-27.472,-28.015,-27.4566,-28.442
1.301775148,-27.931,-27.303,-27.826,-27.2836,-28.269
1.321499014,-27.755,-27.124,-27.633,-27.1016,-28.087
1.34122288,-27.576,-26.943,-27.439,-26.9176,-27.903
