Freq [GHz],"dB(St(P1,P3)) []","dB(St(P1,P3))_2 []","dB(St(P1,P4))_4 []"
0,-331.123,-683.9,-269.198
0.01,-58.03740845,-56.97249296,-166.2551084
0.02,-52.02047059,-51.03205882,-68.75183203
0.03,-48.50203067,-47.5592454,-65.66474804
0.04,-46.00976471,-45.09288235,-62.71811203
0.05,-44.0711889,-43.17272605,-60.92014004
0.06,-42.50091137,-41.61587735,-59.20919203
0.07,-41.19967058,-40.32718269,-57.94372404
0.08,-40.03774324,-39.17783784,-56.74198403
0.09,-39.02298998,-38.17562837,-55.76898204
0.1,-38.1126426,-37.27775797,-54.84666003
0.11,-37.34862485,-36.52785881,-54.05972604
0.12,-36.5846071,-35.77795966,-53.31781602
0.13,-35.90883871,-35.118,-52.66863399
0.14,-35.29190323,-34.518,-52.05610398
0.15,-34.68730645,-33.93062903,-51.50303998
0.16,-34.17319355,-33.43587097,-50.97887198
0.17,-33.65908065,-32.9411129,-50.49211399
0.18,-33.19348387,-32.49641935,-50.04113999
0.19,-32.75517742,-32.0798871,-49.62736999
0.2,-32.32635484,-31.67322581,-49.23795999
0.21,-31.94732258,-31.3183871,-48.868908
0.22,-31.56829032,-30.96354839,-48.524496
0.23,-31.22133871,-30.64270968,-48.196564
0.24,-30.88948387,-30.33787097,-47.910632
0.25,-30.56537097,-30.04133871,-47.64695
0.26,-30.27222581,-29.77803226,-47.392732
0.27,-29.97908065,-29.51472581,-47.142414
0.28,-29.70974194,-29.2763871,-46.891312
0.29,-29.44966129,-29.04775806,-46.63996601
0.3,-29.19635484,-28.82648387,-46.43902
0.31,-28.9645,-28.6285,-46.24935401
0.32,-28.73264516,-28.43051613,-46.07447201
0.33,-28.51917742,-28.25245161,-45.90176801
0.34,-28.31151613,-28.08067742,-45.72192401
0.35,-28.10995161,-27.91556452,-45.54151001
0.36,-27.92406452,-27.76758065,-45.40696
0.37,-27.73817742,-27.61959677,-45.27393199
0.38,-27.56745161,-27.48806452,-45.157768
0.39,-27.40051613,-27.36064516,-45.040592
0.4,-27.239,-27.23916129,-44.91312
0.41,-27.089,-27.13029032,-44.790754
0.42,-26.939,-27.02141935,-44.698748
0.43,-26.80254839,-26.9271129,-44.610618
0.44,-26.66867742,-26.83558065,-44.538144
0.45,-26.5398871,-26.74970968,-44.46242
0.46,-26.42012903,-26.67390323,-44.377096
0.47,-26.30037097,-26.59809677,-44.299988
0.48,-26.19196774,-26.53435484,-44.241392
0.49,-26.0851129,-26.47225806,-44.190236
0.5,-25.98325806,-26.41564516,-44.1522
0.51,-25.88890323,-26.36725806,-44.108814
0.52,-25.79454839,-26.31887097,-44.057928
0.53,-25.71020968,-26.28124194,-44.016238
0.54,-25.62674194,-26.24454839,-43.984884
0.55,-25.54824194,-26.21282258,-43.96514
