Freq [GHz],"dB(St(P1,P4)) []","dB(St(P1,P4))_2 []","dB(St(P1,P4))_3_1 []"
0,-333.037,-691.533,-268.136
0.01,-64.62545775,-67.47407746,-165.2501624
0.02,-58.60847059,-61.37729412,-67.80094403
0.03,-55.08903067,-57.82742331,-64.71591604
0.04,-52.59564706,-55.32347059,-61.77133603
0.05,-50.65508147,-53.3801889,-59.97542004
0.06,-49.08211817,-51.80991137,-58.26678003
0.07,-47.77863903,-50.51070213,-57.00491004
0.08,-46.61385135,-49.35258108,-55.80665603
0.09,-45.59554048,-48.34301928,-54.83673804
0.1,-44.68129205,-47.43821622,-53.91722003
0.11,-43.91283703,-46.68145946,-53.13234204
0.12,-43.14438201,-45.9247027,-52.39232002
0.13,-42.46345161,-45.25740323,-51.74467999
0.14,-41.84087097,-44.64974194,-51.13329998
0.15,-41.23053226,-44.05456452,-50.58074998
0.16,-40.70996774,-43.55093548,-50.05619998
0.17,-40.18940323,-43.04730645,-49.56789999
0.18,-39.71683871,-42.59348387,-49.11487999
0.19,-39.27127419,-42.16767742,-48.69853999
0.2,-38.83493548,-41.75148387,-48.30571999
0.21,-38.44703226,-41.38575806,-47.932556
0.22,-38.05912903,-41.02003226,-47.583108
0.23,-37.70275806,-40.68720968,-47.249522
0.24,-37.36122581,-40.36987097,-46.9576
0.25,-37.02727419,-40.06051613,-46.68775
0.26,-36.72364516,-39.78309677,-46.425908
0.27,-36.42001613,-39.50567742,-46.167366
0.28,-36.13903226,-39.25264516,-45.90608
0.29,-35.86685484,-39.00909677,-45.64394001
0.3,-35.60106452,-38.77241935,-45.43346001
0.31,-35.3555,-38.5575,-45.23454201
0.32,-35.10993548,-38.34258065,-45.04816801
0.33,-34.88214516,-38.14666129,-44.86364201
0.34,-34.65996774,-37.95674194,-44.67054801
0.35,-34.44343548,-37.77291935,-44.47677001
0.36,-34.24141935,-37.60477419,-44.32936
0.37,-34.03940323,-37.43662903,-44.18344599
0.38,-33.85125806,-37.28429032,-44.05340399
0.39,-33.66658065,-37.13590323,-43.92221199
0.4,-33.48693548,-36.99306452,-43.77932
0.41,-33.31798387,-36.86201613,-43.641608
0.42,-33.14903226,-36.73096774,-43.534696
0.43,-32.99159677,-36.61312903,-43.431558
0.44,-32.83635484,-36.49780645,-43.343664
0.45,-32.6856129,-36.38756452,-43.25213
0.46,-32.54287097,-36.28635484,-43.149844
0.47,-32.40012903,-36.18514516,-43.055616
0.48,-32.26696774,-36.09529032,-42.979544
0.49,-32.1351129,-36.00698387,-42.911098
0.5,-32.00729032,-35.92335484,-42.8561
0.51,-31.88551613,-35.84674194,-42.795538
0.52,-31.76374194,-35.77012903,-42.727176
0.53,-31.65012903,-35.70390323,-42.667042
0.54,-31.53722581,-35.63858065,-42.616156
0.55,-31.42804839,-35.57769355,-42.57715
